tracking_id,sender,recipient,shipment_type,weight_kg,origin,destination,delivery_date
TRK414430,Amazon,CUST5744,Small Parcel,7.4,Frankfurt,Cologne,2025-02-21
TRK102121,eBay,CUST9556,Fragile Parcel,3.93,Antwerp,Brussels,2025-02-27
TRK306310,Amazon,CUST3777,Small Parcel,7.57,Rotterdam,Cologne,2025-02-23
TRK222484,AliExpress,CUST1248,Small Parcel,7.89,Frankfurt,Amsterdam,2025-02-19
TRK188409,Amazon,CUST4033,Large Parcel,3.38,Berlin,Cologne,2025-02-28
TRK385633,Zalando,CUST7134,Fragile Parcel,4.0,Cologne,Lille,2025-02-20
TRK139097,Zalando,CUST4034,Small Parcel,3.08,Rotterdam,Brussels,2025-02-27
TRK326177,Coolblue,CUST9517,Large Parcel,0.99,Leuven,Antwerp,2025-02-27
TRK431582,Bol.com,CUST4568,Small Parcel,4.13,Rotterdam,Lille,2025-02-20
TRK476472,Zalando,CUST3022,Small Parcel,8.42,Antwerp,Leuven,2025-02-22
TRK197046,Decathlon,CUST2983,Small Parcel,8.14,Paris,Cologne,2025-02-26
TRK398411,Amazon,CUST2915,Large Parcel,3.74,Leuven,Antwerp,2025-02-24
TRK334342,Bol.com,CUST4671,Small Parcel,5.27,Rotterdam,Paris,2025-02-28
TRK420965,Amazon,CUST9035,Small Parcel,8.62,Lille,Cologne,2025-02-28
TRK137522,Bol.com,CUST8816,Fragile Parcel,8.22,Paris,Hamburg,2025-02-20
TRK361204,eBay,CUST7732,Small Parcel,2.2,Frankfurt,Antwerp,2025-02-20
TRK132207,Amazon,CUST2611,Small Parcel,8.89,Paris,Lille,2025-02-25
TRK201284,Decathlon,CUST9381,Small Parcel,1.31,Cologne,Rotterdam,2025-02-18
TRK224705,eBay,CUST4629,Fragile Parcel,0.57,Rotterdam,Frankfurt,2025-02-24
TRK173407,Decathlon,CUST3141,Small Parcel,3.7,Berlin,Cologne,2025-02-24
TRK437639,Amazon,CUST2472,Fragile Parcel,5.79,Rotterdam,Leuven,2025-02-27
TRK458390,Amazon,CUST6832,Small Parcel,2.72,Cologne,Brussels,2025-02-26
TRK251371,eBay,CUST8267,Small Parcel,0.7,Amsterdam,Lille,2025-02-21
TRK412086,Amazon,CUST6988,Large Parcel,9.16,Paris,Leuven,2025-02-23
TRK206753,Bol.com,CUST9444,Small Parcel,7.98,Berlin,Cologne,2025-02-23
TRK189005,Coolblue,CUST2897,Fragile Parcel,8.57,Antwerp,Leuven,2025-02-21
TRK316640,Zalando,CUST6385,Small Parcel,8.19,Brussels,Cologne,2025-02-23
TRK256051,Bol.com,CUST9489,Large Parcel,7.8,Leuven,Rotterdam,2025-02-20
TRK307012,eBay,CUST9536,Small Parcel,5.71,Paris,Rotterdam,2025-02-25
TRK250891,Bol.com,CUST2786,Small Parcel,8.63,Lille,Frankfurt,2025-02-28
TRK222262,AliExpress,CUST2957,Small Parcel,3.67,Berlin,Paris,2025-02-21
